claim_id,topic,claim,support_status,evidence,recommended_action
C01,headline unemployment sample,"Manuscript reports headline unemployment sample N=315, T=240, 2005-2024.",not_reproducible_from_current_local_outputs,"paper/ver6.tex:2425; outputs/empirical/unemp_B.json is absent; local loader without missing covariate file keeps 388 units before covariate matching.","Regenerate or archive the exact output object used for the manuscript, with source hashes and code commit."
C02,NSA deseasonalization,Unemployment outcome is monthly NSA metro unemployment deseasonalized in code.,supported_by_code_and_readme,"data/unemp/README.md:16-18; dlrhcs/unemp.py:87; paper/ver6.tex:2402 and 2538.","Document that the procedure is full-sample month-of-year demeaning unless replaced by official SA series."
C03,interpolation,Sparse BLS suppressions are linearly interpolated up to six months per metro.,supported_but_implementation_differs_from_phrase,"dlrhcs/unemp.py:76-83 uses total missing count <=6, then _interp fills leading/trailing and internal gaps; README says <=6 months/metro.","Report exact cells altered and clarify total-missing versus consecutive-gap rule."
C04,covariates,Spec C uses population and GDP controls.,not_reproducible_from_current_local_files,"scripts/unemp_abc.py:56-63 expects data/zillow/metro_monthly_covariates_2000_present.csv; file is absent; data/zillow/zillow-covariate.py shows annual-to-monthly conversion.","Remove population/GDP from headline; keep only as sensitivity if rebuilt and documented."
C05,payroll covariate,Payroll employment was avoided as an unemployment covariate due to mechanical relationship risk.,mixed,"scripts/unemp_abc.py:12 says NOT employment, but dlrhcs/unemp.py loads and standardizes payroll; README includes CES payroll growth covariate in derived panel.","If payroll is used as a sensitivity, label it explicitly and record seasonal status and series IDs."
C06,AR order,Headline ranks (1,0,1) implement lag-1 persistence with lag-2 dropped.,supported_with_caveat,"scripts/unemp_abc.py:54; dlrhcs/empirical.py:244-246 always constructs lag1 and lag2; rank zero for lag2 drops the low-rank surface but the effective sample still discards two months.","State effective sample and lag construction explicitly."
C07,geographic spatial SE,Spatial-kernel unemployment SEs use coordinate-matched metros and bandwidths 300/600 km.,partly_supported_by_script_not_outputs,"scripts/spatial_kernel_se.py:55-72 and 87-112; output spatial_kernel_se.json absent.","Archive spatial SE output and matched CBSA list; mark manuscript values unsupported until output exists."
C08,rank selection,Rank selection table reports selected ranks and r_H robustness.,script_supports_but_output_absent,"scripts/unemp_abc.py:90-92 and dlrhcs/empirical.py:455,501; outputs absent.","Regenerate with deterministic output and metadata if retaining table."
C09,duplicates,Input data are one row per CBSA-month.,contradicted_by_local_derived_file,"Derived CSV has 948 duplicate CBSA-month keys and at least 948 extra duplicate rows; loader silently keeps last row.","Audit duplicate causes and record dropped rows before estimation."
C10,collinearity,CES payroll growth and BPS permits are feasible non-interpolated monthly controls.,supported_as_low_collinearity_pair_for_common_sample,"Collinearity audit finds two-way-demeaned correlation about -0.002 and VIF about 1.001 for 2005-2024 complete cases.","Consider permits plus payroll sensitivity only after confirming economic interpretation and seasonal status."
